Id,Label,timeset,degree,clustering,triangles,componentnumber,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,modularity_class,weighted degree
L.P.F. Garcia,L.P.F. Garcia,,7,0.809524,17,0,6,0.343898,0.371435,0.000004,0.074583,1,10
A.C. Lorena,A.C. Lorena,,7,0.809524,17,0,6,0.343898,0.371435,0.000004,0.074583,1,10
A.C.P.L.F. de Carvalho,A.C.P.L.F. de Carvalho,,5,1,10,0,6,0.343573,0.37006,0,0.066312,1,5
Jose A. Saez,Jose A. Saez,,10,0.577778,26,0,6,0.350024,0.381293,0.000188,0.1209,1,23
A. Palacios,A. Palacios,,9,0.444444,16,0,5,0.279079,0.301261,0.00106,0.030063,10,16
I. Couso,I. Couso,,5,1,10,0,6,0.26896,0.283586,0,0.012262,10,10
A. Rosete,A. Rosete,,3,1,3,0,6,0.343573,0.369143,0,0.056046,10,9
R. Wikström,R. Wikström,,3,1,3,0,7,0.315538,0.356098,0,0.056218,2,3
A. Collop,A. Collop,,5,0.9,9,0,7,0.322252,0.366071,0.000016,0.08609,2,8
J. Derrac,J. Derrac,,19,0.497076,85,0,6,0.364411,0.401123,0.002286,0.213104,1,41
H. Wang,H. Wang,,5,0.8,8,0,6,0.344713,0.371664,0.000004,0.065534,1,6
H. Hagras,H. Hagras,,13,0.576923,45,0,6,0.34652,0.376937,0.000094,0.119146,1,19
J. Mendel,J. Mendel,,3,1,3,0,6,0.342763,0.367996,0,0.053059,1,3
H. Bustince Sola,H. Bustince Sola,,3,1,3,0,6,0.342763,0.367996,0,0.053059,1,3
N. Verbiest,N. Verbiest,,11,0.436364,24,0,6,0.347847,0.378771,0.003683,0.101157,14,18
M. de la Flor,M. de la Flor,,5,1,10,0,7,0.316914,0.359308,0,0.068467,2,5
A. Piatteli,A. Piatteli,,5,1,10,0,7,0.316914,0.359308,0,0.068467,2,5
H. Perez-Morago,H. Perez-Morago,,4,1,6,0,7,0.315675,0.356786,0,0.064183,2,4
R. Heradio,R. Heradio,,7,0.714286,15,0,7,0.316087,0.358849,0.000008,0.07363,2,9
D. Fernandez-Amoros,D. Fernandez-Amoros,,4,1,6,0,7,0.315675,0.356786,0,0.064183,2,4
M. Elkano,M. Elkano,,7,0.952381,20,0,6,0.343735,0.371091,0.000001,0.100534,1,12
J.A. Sanz,J.A. Sanz,,9,0.722222,26,0,6,0.344061,0.372467,0.000012,0.108686,1,16
J. Bautista,J. Bautista,,3,1,3,0,5,0.276321,0.294773,0,0.018006,13,6
A. Orriols-Puig,A. Orriols-Puig,,2,1,1,0,8,0.155541,0.166927,0,0.002349,16,2
A. Sancho-Asensio,A. Sancho-Asensio,,2,1,1,0,8,0.155541,0.166927,0,0.002349,16,2
I. Gondres,I. Gondres,,6,1,15,0,6,0.344223,0.371435,0,0.068511,14,6
E. Ramentol,E. Ramentol,,8,0.857143,24,0,6,0.34455,0.372811,0.000003,0.077706,14,15
S. Lajes,S. Lajes,,6,1,15,0,6,0.344223,0.371435,0,0.068511,14,6
Y. Caballero,Y. Caballero,,8,0.857143,24,0,6,0.34455,0.372811,0.000003,0.077706,14,12
